"order_id","order_date","ship_date","ship_mode","city","state","postal_code","region","customer_id"
"CA-2016-118255","11/03/2016","13/03/2016","First Class","Eagan","Minnesota","55122","Central","ON-18715"
"CA-2014-146703","20/10/2014","25/10/2014","Second Class","Westland","Michigan","48185","Central","PO-18865"
"CA-2016-169194","20/06/2016","25/06/2016","Standard Class","Dover","Delaware","19901","East","LH-16900"
"CA-2015-115742","18/04/2015","22/04/2015","Standard Class","New Albany","Indiana","47150","Central","DP-13000"
"CA-2016-105816","11/12/2016","17/12/2016","Standard Class","New York City","New York","10024","East","JM-15265"
"CA-2016-111682","17/06/2016","18/06/2016","First Class","Troy","New York","12180","East","TB-21055"
"CA-2015-135545","24/11/2015","30/11/2015","Standard Class","Los Angeles","California","90004","West","KM-16720"
"US-2015-164175","30/04/2015","05/05/2015","Standard Class","Chicago","Illinois","60610","Central","PS-18970"
"CA-2014-106376","05/12/2014","10/12/2014","Standard Class","Gilbert","Arizona","85234","West","BS-11590"
"CA-2016-119823","04/06/2016","06/06/2016","First Class","Springfield","Virginia","22153","South","KD-16270"
"CA-2016-106075","18/09/2016","23/09/2016","Standard Class","New York City","New York","10009","East","HM-14980"
"CA-2017-114440","14/09/2017","17/09/2017","Second Class","Jackson","Michigan","49201","Central","TB-21520"
"US-2015-134026","26/04/2015","02/05/2015","Standard Class","Memphis","Tennessee","38109","South","JE-15745"
"US-2017-118038","09/12/2017","11/12/2017","First Class","Houston","Texas","77041","Central","KB-16600"
"US-2014-147606","26/11/2014","01/12/2014","Second Class","Houston","Texas","77070","Central","JE-15745"
"CA-2016-127208","12/06/2016","15/06/2016","First Class","Decatur","Alabama","35601","South","SC-20770"
"CA-2014-139451","12/10/2014","16/10/2014","Standard Class","San Francisco","California","94122","West","DN-13690"
"CA-2015-149734","03/09/2015","08/09/2015","Standard Class","Durham","North Carolina","27707","South","JC-16105"
"US-2017-119662","13/11/2017","16/11/2017","First Class","Chicago","Illinois","60623","Central","CS-12400"
"CA-2017-140088","28/05/2017","30/05/2017","Second Class","Columbia","South Carolina","29203","South","PO-18865"
"CA-2017-155558","26/10/2017","02/11/2017","Standard Class","Rochester","Minnesota","55901","Central","PG-18895"
"CA-2016-159695","05/04/2016","10/04/2016","Second Class","Houston","Texas","77095","Central","GM-14455"
"CA-2016-109806","17/09/2016","22/09/2016","Standard Class","Los Angeles","California","90036","West","JS-15685"
"CA-2015-149587","31/01/2015","05/02/2015","Second Class","Minneapolis","Minnesota","55407","Central","KB-16315"
"US-2017-109484","06/11/2017","12/11/2017","Standard Class","Portland","Oregon","97206","West","RB-19705"
"CA-2017-161018","09/11/2017","11/11/2017","Second Class","New York City","New York","10009","East","PN-18775"
"CA-2017-157833","17/06/2017","20/06/2017","First Class","San Francisco","California","94122","West","KD-16345"
"CA-2016-149223","06/09/2016","11/09/2016","Standard Class","Saint Paul","Minnesota","55106","Central","ER-13855"
"CA-2016-158568","29/08/2016","02/09/2016","Standard Class","Chicago","Illinois","60610","Central","RB-19465"
"CA-2016-129903","01/12/2016","04/12/2016","Second Class","Rochester","Minnesota","55901","Central","GZ-14470"
"US-2015-156867","13/11/2015","17/11/2015","Standard Class","Aurora","Colorado","80013","West","LC-16870"
"CA-2017-119004","23/11/2017","28/11/2017","Standard Class","Charlotte","North Carolina","28205","South","JM-15250"
"CA-2015-129476","15/10/2015","20/10/2015","Standard Class","Orland Park","Illinois","60462","Central","PA-19060"
"CA-2017-146780","25/12/2017","30/12/2017","Standard Class","New York City","New York","10035","East","CV-12805"
"CA-2016-128867","03/11/2016","10/11/2016","Standard Class","Urbandale","Iowa","50322","Central","CL-12565"
"CA-2014-115259","25/08/2014","27/08/2014","Second Class","Columbus","Ohio","43229","East","RC-19960"
"CA-2015-110457","02/03/2015","06/03/2015","Standard Class","Seattle","Washington","98103","West","DK-13090"
"US-2015-136476","05/04/2015","10/04/2015","Standard Class","Bristol","Tennessee","37620","South","GG-14650"
"CA-2016-103730","12/06/2016","15/06/2016","First Class","Wilmington","Delaware","19805","East","SC-20725"
"US-2014-152030","26/12/2014","28/12/2014","Second Class","Houston","Texas","77041","Central","AD-10180"
"US-2014-134614","20/09/2014","25/09/2014","Standard Class","Bloomington","Illinois","61701","Central","PF-19165"
"US-2017-107272","05/11/2017","12/11/2017","Standard Class","Phoenix","Arizona","85023","West","TS-21610"
"US-2016-125969","06/11/2016","10/11/2016","Second Class","Los Angeles","California","90004","West","LS-16975"
"US-2017-164147","02/02/2017","05/02/2017","First Class","Columbus","Ohio","43229","East","DW-13585"
"CA-2016-145583","13/10/2016","19/10/2016","Standard Class","Roseville","California","95661","West","LC-16885"
"CA-2016-110366","05/09/2016","07/09/2016","Second Class","Philadelphia","Pennsylvania","19140","East","JD-15895"
"CA-2017-106180","18/09/2017","23/09/2017","Standard Class","San Francisco","California","94122","West","SH-19975"
"CA-2017-155376","22/12/2017","27/12/2017","Standard Class","Independence","Missouri","64055","Central","SG-20080"
"CA-2015-110744","07/09/2015","12/09/2015","Standard Class","Pasadena","California","91104","West","HA-14920"
"CA-2014-110072","22/10/2014","28/10/2014","Standard Class","Newark","Ohio","43055","East","MG-17680"
"CA-2016-114489","05/12/2016","09/12/2016","Standard Class","Franklin","Wisconsin","53132","Central","JE-16165"
"CA-2016-158834","13/03/2016","16/03/2016","First Class","Scottsdale","Arizona","85254","West","TW-21025"
"CA-2015-124919","31/05/2015","02/06/2015","First Class","San Jose","California","95123","West","SP-20650"
"CA-2015-118948","28/05/2015","03/06/2015","Standard Class","Seattle","Washington","98105","West","NK-18490"
"CA-2014-104269","01/03/2014","06/03/2014","Second Class","Seattle","Washington","98115","West","DB-13060"
"CA-2016-114104","20/11/2016","24/11/2016","Standard Class","Edmond","Oklahoma","73034","Central","NP-18670"
"CA-2016-162733","11/05/2016","12/05/2016","First Class","Los Angeles","California","90045","West","TT-21070"
"CA-2015-119697","28/12/2015","31/12/2015","Second Class","Philadelphia","Pennsylvania","19134","East","EM-13960"
"CA-2016-154508","16/11/2016","20/11/2016","Standard Class","Carlsbad","New Mexico","88220","West","RD-19900"
"CA-2016-113817","07/11/2016","11/11/2016","Standard Class","Seattle","Washington","98115","West","MJ-17740"
"CA-2014-139892","08/09/2014","12/09/2014","Standard Class","San Antonio","Texas","78207","Central","BM-11140"
"CA-2014-118962","05/08/2014","09/08/2014","Standard Class","Los Angeles","California","90004","West","CS-12130"
"US-2014-100853","14/09/2014","19/09/2014","Standard Class","Chicago","Illinois","60623","Central","JB-15400"
"US-2017-152366","21/04/2017","25/04/2017","Second Class","Houston","Texas","77036","Central","SJ-20500"
"US-2015-101511","21/11/2015","23/11/2015","Second Class","Newark","Ohio","43055","East","JE-15745"
"CA-2015-137225","15/12/2015","19/12/2015","Standard Class","New York City","New York","10009","East","JK-15640"
"CA-2014-166191","05/12/2014","09/12/2014","Second Class","Decatur","Illinois","62521","Central","DK-13150"
"CA-2014-158274","19/11/2014","24/11/2014","Second Class","Monroe","Louisiana","71203","South","RM-19675"
"CA-2016-105018","28/11/2016","02/12/2016","Standard Class","Fairfield","Connecticut","6824","East","SK-19990"
"CA-2014-123260","26/08/2014","30/08/2014","Standard Class","Los Angeles","California","90032","West","FM-14290"
"CA-2016-157000","16/07/2016","22/07/2016","Standard Class","Grand Prairie","Texas","75051","Central","AM-10360"
"CA-2015-102281","12/10/2015","14/10/2015","First Class","New York City","New York","10035","East","MP-17470"
"CA-2015-131457","31/10/2015","06/11/2015","Standard Class","Redlands","California","92374","West","MZ-17515"
"CA-2014-140004","21/03/2014","25/03/2014","Standard Class","Hamilton","Ohio","45011","East","CB-12025"
"CA-2017-107720","06/11/2017","13/11/2017","Standard Class","Westfield","New Jersey","7090","East","VM-21685"
"US-2017-124303","06/07/2017","13/07/2017","Standard Class","Philadelphia","Pennsylvania","19120","East","FH-14365"
"CA-2017-105074","24/06/2017","29/06/2017","Standard Class","Akron","Ohio","44312","East","MB-17305"
"CA-2014-133690","03/08/2014","05/08/2014","First Class","Denver","Colorado","80219","West","BS-11755"
"US-2017-116701","17/12/2017","21/12/2017","Second Class","Dallas","Texas","75220","Central","LC-17140"
"CA-2017-126382","03/06/2017","07/06/2017","Standard Class","Franklin","Tennessee","37064","South","HK-14890"
"CA-2017-108329","09/12/2017","14/12/2017","Standard Class","Whittier","California","90604","West","LE-16810"
"CA-2017-135860","01/12/2017","07/12/2017","Standard Class","Saginaw","Michigan","48601","Central","JH-15985"
"CA-2015-101007","09/02/2015","13/02/2015","Second Class","Dallas","Texas","75220","Central","MS-17980"
"CA-2015-146262","02/01/2015","09/01/2015","Standard Class","Medina","Ohio","44256","East","VW-21775"
"CA-2016-130162","28/10/2016","01/11/2016","Standard Class","Los Angeles","California","90032","West","JH-15910"
"CA-2015-169397","24/12/2015","27/12/2015","First Class","Dublin","Ohio","43017","East","JB-15925"
"CA-2015-163055","09/08/2015","16/08/2015","Standard Class","Detroit","Michigan","48227","Central","DS-13180"
"US-2015-145436","28/02/2015","04/03/2015","Standard Class","Columbia","Tennessee","38401","South","VD-21670"
"US-2014-156216","13/09/2014","17/09/2014","Standard Class","Charlotte","North Carolina","28205","South","EA-14035"
"US-2017-100930","07/04/2017","12/04/2017","Standard Class","Tampa","Florida","33614","South","CS-12400"
"CA-2017-160514","12/11/2017","16/11/2017","Standard Class","Santa Clara","California","95051","West","DB-13120"
"CA-2016-157749","04/06/2016","09/06/2016","Second Class","Chicago","Illinois","60610","Central","KL-16645"
"CA-2014-131926","01/06/2014","06/06/2014","Second Class","Lakeville","Minnesota","55044","Central","DW-13480"
"CA-2016-154739","10/12/2016","15/12/2016","Second Class","San Francisco","California","94109","West","LH-17155"
"CA-2016-145625","11/09/2016","17/09/2016","Standard Class","San Diego","California","92037","West","KC-16540"
"CA-2016-146941","10/12/2016","13/12/2016","First Class","New York City","New York","10024","East","DL-13315"
"US-2015-159982","28/11/2015","04/12/2015","Standard Class","Chicago","Illinois","60623","Central","DR-12880"
"CA-2017-163139","01/12/2017","03/12/2017","Second Class","New York City","New York","10009","East","CC-12670"
"US-2017-155299","08/06/2017","12/06/2017","Standard Class","Pasadena","Texas","77506","Central","Dl-13600"
"US-2014-106992","19/09/2014","21/09/2014","Second Class","Houston","Texas","77036","Central","SB-20290"
"CA-2016-125318","06/06/2016","13/06/2016","Standard Class","Chicago","Illinois","60610","Central","RC-19825"
"CA-2015-155040","10/11/2015","15/11/2015","Standard Class","Brentwood","California","94513","West","AH-10210"
"CA-2017-136826","16/06/2017","20/06/2017","Standard Class","Chapel Hill","North Carolina","27514","South","CB-12535"
"CA-2016-111010","22/01/2016","28/01/2016","Standard Class","Morristown","New Jersey","7960","East","PG-18895"
"US-2017-145366","09/12/2017","13/12/2017","Standard Class","Cincinnati","Ohio","45231","East","CA-12310"
"CA-2017-163979","28/12/2017","02/01/2018","Second Class","San Francisco","California","94110","West","KH-16690"
"CA-2015-155334","30/07/2015","31/07/2015","First Class","San Francisco","California","94109","West","HA-14920"
"CA-2017-118136","16/09/2017","17/09/2017","First Class","Inglewood","California","90301","West","BB-10990"
"CA-2017-132976","13/10/2017","17/10/2017","Standard Class","Philadelphia","Pennsylvania","19140","East","AG-10495"
"US-2015-161991","26/09/2015","28/09/2015","Second Class","Houston","Texas","77070","Central","SC-20725"
"CA-2015-130890","02/11/2015","06/11/2015","Standard Class","Los Angeles","California","90004","West","JO-15280"
"CA-2015-130883","26/09/2015","02/10/2015","Standard Class","Portland","Oregon","97206","West","TB-21520"
"CA-2016-112697","18/12/2016","20/12/2016","Second Class","Tamarac","Florida","33319","South","AH-10195"
"CA-2016-110772","20/11/2016","24/11/2016","Second Class","Columbus","Ohio","43229","East","NZ-18565"
"CA-2014-111451","26/12/2014","28/12/2014","First Class","Colorado Springs","Colorado","80906","West","KL-16555"
"CA-2016-142545","28/10/2016","03/11/2016","Standard Class","Belleville","New Jersey","7109","East","JD-15895"
"US-2017-152380","19/11/2017","23/11/2017","Standard Class","Chicago","Illinois","60623","Central","JH-15910"
"CA-2015-144253","04/05/2015","09/05/2015","Second Class","New York City","New York","10024","East","AS-10225"
"CA-2014-130960","30/12/2014","04/01/2015","Standard Class","Taylor","Michigan","48180","Central","KB-16600"
"CA-2014-111003","01/06/2014","06/06/2014","Standard Class","Lakewood","New Jersey","8701","East","CR-12625"
"CA-2017-126774","15/04/2017","17/04/2017","First Class","Arlington","Virginia","22204","South","SH-20395"
"CA-2016-142902","12/09/2016","14/09/2016","Second Class","Arvada","Colorado","80004","West","BP-11185"
"CA-2014-120887","27/09/2014","03/10/2014","Standard Class","Hackensack","New Jersey","7601","East","TS-21205"
"CA-2014-167850","09/08/2014","16/08/2014","Standard Class","Saint Petersburg","Florida","33710","South","AG-10525"
"CA-2014-164259","28/12/2014","30/12/2014","First Class","Philadelphia","Pennsylvania","19143","East","SP-20860"
"CA-2014-164973","04/11/2014","09/11/2014","Standard Class","New York City","New York","10024","East","NM-18445"
"CA-2014-156601","19/09/2014","24/09/2014","Standard Class","Long Beach","California","90805","West","FA-14230"
"CA-2016-162138","23/04/2016","27/04/2016","Standard Class","Hesperia","California","92345","West","GK-14620"
"CA-2017-153339","03/11/2017","05/11/2017","Second Class","Murfreesboro","Tennessee","37130","South","DJ-13510"
"US-2016-141544","30/08/2016","01/09/2016","First Class","Philadelphia","Pennsylvania","19143","East","PO-18850"
"US-2016-150147","25/04/2016","29/04/2016","Second Class","Philadelphia","Pennsylvania","19134","East","JL-15850"
"CA-2015-137946","01/09/2015","04/09/2015","Second Class","Los Angeles","California","90045","West","DB-13615"
"CA-2014-129924","12/07/2014","17/07/2014","Standard Class","San Francisco","California","94122","West","AC-10420"
"CA-2015-128167","22/06/2015","26/06/2015","Second Class","Layton","Utah","84041","West","KL-16645"
"CA-2014-122336","13/04/2014","17/04/2014","Second Class","Philadelphia","Pennsylvania","19140","East","JD-15895"
"US-2015-120712","20/12/2015","24/12/2015","Standard Class","Austin","Texas","78745","Central","CS-12130"
"CA-2017-169901","15/06/2017","19/06/2017","Standard Class","San Francisco","California","94122","West","CC-12550"
"CA-2017-134306","08/07/2017","12/07/2017","Standard Class","Lowell","Massachusetts","1852","East","TD-20995"
"CA-2016-129714","01/09/2016","03/09/2016","First Class","New York City","New York","10009","East","AB-10060"
"CA-2016-138520","08/04/2016","13/04/2016","Standard Class","New York City","New York","10035","East","JL-15505"
"CA-2016-130001","23/04/2016","28/04/2016","Standard Class","Charlotte","North Carolina","28205","South","HK-14890"
"CA-2017-155698","08/03/2017","11/03/2017","First Class","Columbus","Georgia","31907","South","VB-21745"
"CA-2017-144904","25/09/2017","01/10/2017","Standard Class","New York City","New York","10009","East","KW-16435"
"CA-2014-123344","24/09/2014","29/09/2014","Standard Class","San Francisco","California","94109","West","JD-16060"
"CA-2016-155516","21/10/2016","21/10/2016","Same Day","Manchester","Connecticut","6040","East","MK-17905"
"CA-2017-104745","29/05/2017","04/06/2017","Standard Class","Harlingen","Texas","78550","Central","GT-14755"
"US-2014-119137","23/07/2014","27/07/2014","Standard Class","Tucson","Arizona","85705","West","AG-10900"
"US-2016-134656","28/09/2016","01/10/2016","First Class","Quincy","Illinois","62301","Central","MM-18280"
"US-2017-134481","27/08/2017","01/09/2017","Standard Class","Franklin","Massachusetts","2038","East","AR-10405"
"CA-2015-130792","28/04/2015","05/05/2015","Standard Class","Houston","Texas","77095","Central","RA-19915"
"CA-2016-134775","28/10/2016","29/10/2016","First Class","San Francisco","California","94109","West","AS-10285"
"CA-2015-125395","26/06/2015","29/06/2015","Second Class","Taylor","Michigan","48180","Central","LA-16780"
"US-2015-168935","27/11/2015","02/12/2015","Standard Class","Pembroke Pines","Florida","33024","South","DO-13435"
"CA-2015-122756","03/12/2015","07/12/2015","Standard Class","Philadelphia","Pennsylvania","19140","East","DK-13225"
"CA-2014-115973","24/11/2014","26/11/2014","First Class","Cincinnati","Ohio","45231","East","NG-18430"
"CA-2017-101798","11/12/2017","15/12/2017","Standard Class","New York City","New York","10009","East","MV-18190"
"US-2014-135972","21/09/2014","23/09/2014","Second Class","Des Moines","Washington","98198","West","JG-15115"
"US-2014-134971","07/06/2014","10/06/2014","Second Class","Peoria","Illinois","61604","Central","BP-11095"
"CA-2017-102946","30/06/2017","05/07/2017","Standard Class","Las Vegas","Nevada","89115","West","VP-21730"
"CA-2017-165603","17/10/2017","19/10/2017","Second Class","Warwick","Rhode Island","2886","East","SS-20140"
"CA-2015-122259","31/10/2015","04/11/2015","Standard Class","Jackson","Michigan","49201","Central","HP-14815"
"CA-2016-108987","08/09/2016","10/09/2016","Second Class","Houston","Texas","77036","Central","AG-10675"
"CA-2014-113166","24/12/2014","26/12/2014","First Class","Miami","Florida","33180","South","LF-17185"
"CA-2014-155208","16/04/2014","20/04/2014","Standard Class","Wilmington","North Carolina","28403","South","SP-20650"
"CA-2017-117933","24/12/2017","29/12/2017","Standard Class","New York City","New York","10024","East","RF-19840"
"CA-2017-117457","08/12/2017","12/12/2017","Standard Class","San Francisco","California","94110","West","KH-16510"
"CA-2017-142636","03/11/2017","07/11/2017","Standard Class","Seattle","Washington","98105","West","KC-16675"
"CA-2017-122105","24/06/2017","28/06/2017","Standard Class","Huntington Beach","California","92646","West","CJ-12010"
"CA-2016-148796","14/04/2016","18/04/2016","Standard Class","Los Angeles","California","90004","West","PB-19150"
"CA-2017-154816","06/11/2017","10/11/2017","Standard Class","Richmond","Kentucky","40475","South","VB-21745"
"CA-2017-110478","04/03/2017","09/03/2017","Standard Class","Los Angeles","California","90045","West","SP-20860"
"CA-2014-142048","22/06/2014","25/06/2014","First Class","Louisville","Colorado","80027","West","JE-15745"
"CA-2017-125388","19/10/2017","23/10/2017","Standard Class","Lawrence","Massachusetts","1841","East","MP-17965"
"CA-2017-155705","21/08/2017","23/08/2017","Second Class","Jackson","Mississippi","39212","South","NF-18385"
"CA-2017-149160","23/11/2017","26/11/2017","Second Class","Canton","Michigan","48187","Central","JM-15265"
"CA-2014-101476","12/09/2014","13/09/2014","First Class","New Rochelle","New York","10801","East","SD-20485"
"CA-2017-152275","01/10/2017","08/10/2017","Standard Class","San Antonio","Texas","78207","Central","KH-16630"
"US-2016-123750","15/04/2016","21/04/2016","Standard Class","Gastonia","North Carolina","28052","South","RB-19795"
"CA-2016-127369","06/06/2016","07/06/2016","First Class","Lowell","Massachusetts","1852","East","DB-13060"
"US-2014-150574","19/12/2014","25/12/2014","Standard Class","Jacksonville","Florida","32216","South","MK-18160"
"CA-2016-147375","12/06/2016","14/06/2016","Second Class","Chicago","Illinois","60623","Central","PO-19180"
"CA-2017-130043","15/09/2017","19/09/2017","Standard Class","Houston","Texas","77070","Central","BB-11545"
"CA-2017-157252","20/01/2017","23/01/2017","Second Class","New York City","New York","10024","East","CV-12805"
"CA-2016-115756","05/09/2016","07/09/2016","Second Class","Detroit","Michigan","48227","Central","PK-19075"
"CA-2017-154214","20/03/2017","25/03/2017","Second Class","Columbus","Indiana","47201","Central","TB-21595"
"CA-2016-166674","01/04/2016","03/04/2016","Second Class","Auburn","New York","13021","East","RB-19360"
"CA-2017-147277","20/10/2017","24/10/2017","Standard Class","Akron","Ohio","44312","East","EB-13705"
"CA-2016-100153","13/12/2016","17/12/2016","Standard Class","Norman","Oklahoma","73071","Central","KH-16630"
"US-2014-110674","12/02/2014","18/02/2014","Standard Class","Concord","California","94521","West","SC-20095"
"US-2016-157945","26/09/2016","01/10/2016","Standard Class","Decatur","Illinois","62521","Central","NF-18385"
"CA-2015-109638","15/12/2015","22/12/2015","Standard Class","Seattle","Washington","98115","West","JH-15985"
"CA-2016-109869","22/04/2016","29/04/2016","Standard Class","Phoenix","Arizona","85023","West","TN-21040"
"US-2015-101399","17/01/2015","24/01/2015","Standard Class","Park Ridge","Illinois","60068","Central","JS-15940"
"CA-2017-154907","31/03/2017","04/04/2017","Standard Class","Amarillo","Texas","79109","Central","DS-13180"
"US-2016-100419","16/12/2016","20/12/2016","Second Class","Chicago","Illinois","60610","Central","CC-12670"
"CA-2015-154144","20/12/2015","24/12/2015","Standard Class","Lindenhurst","New York","11757","East","MH-17785"
"CA-2014-144666","09/11/2014","11/11/2014","Second Class","San Francisco","California","94110","West","JP-15520"
"CA-2016-103891","12/07/2016","19/07/2016","Standard Class","Los Angeles","California","90008","West","KH-16690"
"CA-2016-152632","27/10/2016","02/11/2016","Standard Class","Troy","New York","12180","East","JE-15475"
"CA-2016-100790","26/06/2016","02/07/2016","Standard Class","New York City","New York","10024","East","JG-15805"
"CA-2014-134677","06/10/2014","10/10/2014","Standard Class","San Diego","California","92024","West","XP-21865"
"CA-2014-127691","22/07/2014","27/07/2014","Standard Class","New York City","New York","10024","East","EM-14065"
"CA-2017-140963","10/06/2017","13/06/2017","First Class","Los Angeles","California","90045","West","MT-18070"
"CA-2014-154627","29/10/2014","31/10/2014","First Class","Chicago","Illinois","60610","Central","SA-20830"
"CA-2014-133753","09/06/2014","13/06/2014","Second Class","Huntsville","Texas","77340","Central","CW-11905"
"CA-2014-113362","14/09/2014","19/09/2014","Standard Class","Rochester","New York","14609","East","AJ-10960"
"CA-2016-169166","09/05/2016","14/05/2016","Standard Class","Seattle","Washington","98115","West","SS-20590"
"US-2016-120929","18/03/2016","21/03/2016","Second Class","Memphis","Tennessee","38109","South","RO-19780"
"CA-2015-134782","27/12/2015","31/12/2015","Standard Class","Fayetteville","Arkansas","72701","South","MD-17350"
"CA-2016-126158","25/07/2016","31/07/2016","Standard Class","Costa Mesa","California","92627","West","SC-20095"
"US-2016-105578","30/05/2016","04/06/2016","Standard Class","Parker","Colorado","80134","West","MY-17380"
"CA-2017-134978","12/11/2017","15/11/2017","Second Class","New York City","New York","10024","East","EB-13705"
"CA-2015-145352","16/03/2015","22/03/2015","Standard Class","Atlanta","Georgia","30318","South","CM-12385"
"CA-2017-135307","26/11/2017","27/11/2017","First Class","Gladstone","Missouri","64118","Central","LS-17245"
"CA-2016-106341","20/10/2016","23/10/2016","First Class","Newark","Ohio","43055","East","LF-17185"
"CA-2017-163405","21/12/2017","25/12/2017","Standard Class","Los Angeles","California","90049","West","BN-11515"
"CA-2017-127432","22/01/2017","27/01/2017","Standard Class","Great Falls","Montana","59405","West","AD-10180"
"CA-2015-157812","22/03/2015","26/03/2015","Standard Class","Houston","Texas","77041","Central","DB-13210"
"CA-2017-145142","23/01/2017","25/01/2017","First Class","Detroit","Michigan","48234","Central","MC-17605"
"US-2016-139486","21/05/2016","23/05/2016","First Class","Los Angeles","California","90032","West","LH-17155"
"CA-2015-158792","26/12/2015","02/01/2016","Standard Class","Lawrence","Massachusetts","1841","East","BD-11605"
"CA-2017-113558","21/10/2017","26/10/2017","Standard Class","Lakeland","Florida","33801","South","PH-18790"
"US-2015-138303","03/09/2015","07/09/2015","Standard Class","Philadelphia","Pennsylvania","19134","East","MG-18145"
"CA-2015-102848","07/11/2015","09/11/2015","Second Class","Los Angeles","California","90036","West","KB-16240"
"US-2017-129441","07/09/2017","11/09/2017","Standard Class","Los Angeles","California","90032","West","JC-15340"
"CA-2016-168753","29/05/2016","01/06/2016","Second Class","Montgomery","Alabama","36116","South","RL-19615"
"CA-2016-126613","10/07/2016","16/07/2016","Standard Class","Mesa","Arizona","85204","West","AA-10375"
"US-2017-122637","03/09/2017","08/09/2017","Second Class","Chicago","Illinois","60653","Central","EP-13915"
"CA-2015-147851","03/12/2015","08/12/2015","Standard Class","New York City","New York","10009","East","MP-17470"
"CA-2015-134894","07/12/2015","11/12/2015","Standard Class","Henderson","Kentucky","42420","South","DK-12985"
"CA-2014-140795","01/02/2014","03/02/2014","First Class","Green Bay","Wisconsin","54302","Central","BD-11500"
"CA-2016-136924","14/07/2016","17/07/2016","First Class","Tucson","Arizona","85705","West","ES-14080"
"US-2015-120161","18/12/2015","23/12/2015","Standard Class","Springfield","Ohio","45503","East","LM-17065"
"CA-2014-103849","11/05/2014","16/05/2014","Standard Class","Fort Worth","Texas","76106","Central","PG-18895"
"CA-2017-162929","19/11/2017","22/11/2017","First Class","New York City","New York","10035","East","AS-10135"
"CA-2015-113173","15/11/2015","17/11/2015","Second Class","Chicago","Illinois","60653","Central","DK-13225"
"CA-2016-136406","15/04/2016","17/04/2016","Second Class","San Francisco","California","94110","West","BD-11320"
"CA-2017-112774","11/09/2017","12/09/2017","First Class","Jacksonville","Florida","32216","South","RC-19960"
"CA-2017-101945","24/11/2017","28/11/2017","Standard Class","Houston","Texas","77070","Central","GT-14710"
"CA-2017-100650","29/06/2017","03/07/2017","Second Class","Anaheim","California","92804","West","DK-13225"
"CA-2014-155852","03/03/2014","07/03/2014","Second Class","Wilmington","North Carolina","28403","South","AJ-10945"
"CA-2016-113243","10/06/2016","15/06/2016","Standard Class","Los Angeles","California","90045","West","OT-18730"
"CA-2017-118731","20/11/2017","22/11/2017","Second Class","San Francisco","California","94110","West","LP-17080"
"CA-2014-145576","14/09/2014","18/09/2014","Second Class","Tampa","Florida","33614","South","CA-12775"
"CA-2015-130736","07/12/2015","09/12/2015","First Class","Seattle","Washington","98105","West","JF-15490"
"CA-2017-137099","07/12/2017","10/12/2017","First Class","Los Angeles","California","90008","West","FP-14320"
"CA-2017-156951","01/10/2017","08/10/2017","Standard Class","Seattle","Washington","98105","West","EB-13840"
"CA-2017-164826","28/12/2017","04/01/2018","Standard Class","New York City","New York","10024","East","JF-15415"
"CA-2016-127250","03/11/2016","07/11/2016","Standard Class","Marysville","Washington","98270","West","SF-20200"
"CA-2015-149713","18/09/2015","22/09/2015","Second Class","Long Beach","California","90805","West","TG-21640"
