"order_id","order_date","ship_date","ship_mode","city","state","postal_code","region"
"US-2014-106992","19/09/2014","21/09/2014","Second Class","Houston","Texas","77036","Central"
"CA-2016-125318","06/06/2016","13/06/2016","Standard Class","Chicago","Illinois","60610","Central"
"CA-2015-155040","10/11/2015","15/11/2015","Standard Class","Brentwood","California","94513","West"
"CA-2017-136826","16/06/2017","20/06/2017","Standard Class","Chapel Hill","North Carolina","27514","South"
"CA-2016-111010","22/01/2016","28/01/2016","Standard Class","Morristown","New Jersey","7960","East"
"US-2017-145366","09/12/2017","13/12/2017","Standard Class","Cincinnati","Ohio","45231","East"
"CA-2017-163979","28/12/2017","02/01/2018","Second Class","San Francisco","California","94110","West"
"CA-2015-155334","30/07/2015","31/07/2015","First Class","San Francisco","California","94109","West"
"CA-2017-118136","16/09/2017","17/09/2017","First Class","Inglewood","California","90301","West"
"CA-2017-132976","13/10/2017","17/10/2017","Standard Class","Philadelphia","Pennsylvania","19140","East"
"US-2015-161991","26/09/2015","28/09/2015","Second Class","Houston","Texas","77070","Central"
"CA-2015-130890","02/11/2015","06/11/2015","Standard Class","Los Angeles","California","90004","West"
"CA-2015-130883","26/09/2015","02/10/2015","Standard Class","Portland","Oregon","97206","West"
"CA-2016-112697","18/12/2016","20/12/2016","Second Class","Tamarac","Florida","33319","South"
"CA-2016-110772","20/11/2016","24/11/2016","Second Class","Columbus","Ohio","43229","East"
"CA-2014-111451","26/12/2014","28/12/2014","First Class","Colorado Springs","Colorado","80906","West"
"CA-2016-142545","28/10/2016","03/11/2016","Standard Class","Belleville","New Jersey","7109","East"
"US-2017-152380","19/11/2017","23/11/2017","Standard Class","Chicago","Illinois","60623","Central"
"CA-2015-144253","04/05/2015","09/05/2015","Second Class","New York City","New York","10024","East"
"CA-2014-130960","30/12/2014","04/01/2015","Standard Class","Taylor","Michigan","48180","Central"
"CA-2014-111003","01/06/2014","06/06/2014","Standard Class","Lakewood","New Jersey","8701","East"
"CA-2017-126774","15/04/2017","17/04/2017","First Class","Arlington","Virginia","22204","South"
"CA-2016-142902","12/09/2016","14/09/2016","Second Class","Arvada","Colorado","80004","West"
"CA-2014-120887","27/09/2014","03/10/2014","Standard Class","Hackensack","New Jersey","7601","East"
"CA-2014-167850","09/08/2014","16/08/2014","Standard Class","Saint Petersburg","Florida","33710","South"
"CA-2014-164259","28/12/2014","30/12/2014","First Class","Philadelphia","Pennsylvania","19143","East"
"CA-2014-164973","04/11/2014","09/11/2014","Standard Class","New York City","New York","10024","East"
"CA-2014-156601","19/09/2014","24/09/2014","Standard Class","Long Beach","California","90805","West"
"CA-2016-162138","23/04/2016","27/04/2016","Standard Class","Hesperia","California","92345","West"
"CA-2017-153339","03/11/2017","05/11/2017","Second Class","Murfreesboro","Tennessee","37130","South"
"US-2016-141544","30/08/2016","01/09/2016","First Class","Philadelphia","Pennsylvania","19143","East"
"US-2016-150147","25/04/2016","29/04/2016","Second Class","Philadelphia","Pennsylvania","19134","East"
"CA-2015-137946","01/09/2015","04/09/2015","Second Class","Los Angeles","California","90045","West"
"CA-2014-129924","12/07/2014","17/07/2014","Standard Class","San Francisco","California","94122","West"
"CA-2015-128167","22/06/2015","26/06/2015","Second Class","Layton","Utah","84041","West"
"CA-2014-122336","13/04/2014","17/04/2014","Second Class","Philadelphia","Pennsylvania","19140","East"
"US-2015-120712","20/12/2015","24/12/2015","Standard Class","Austin","Texas","78745","Central"
"CA-2017-169901","15/06/2017","19/06/2017","Standard Class","San Francisco","California","94122","West"
"CA-2017-134306","08/07/2017","12/07/2017","Standard Class","Lowell","Massachusetts","1852","East"
"CA-2016-129714","01/09/2016","03/09/2016","First Class","New York City","New York","10009","East"
"CA-2016-138520","08/04/2016","13/04/2016","Standard Class","New York City","New York","10035","East"
"CA-2016-130001","23/04/2016","28/04/2016","Standard Class","Charlotte","North Carolina","28205","South"
"CA-2017-155698","08/03/2017","11/03/2017","First Class","Columbus","Georgia","31907","South"
"CA-2017-144904","25/09/2017","01/10/2017","Standard Class","New York City","New York","10009","East"
"CA-2014-123344","24/09/2014","29/09/2014","Standard Class","San Francisco","California","94109","West"
"CA-2016-155516","21/10/2016","21/10/2016","Same Day","Manchester","Connecticut","6040","East"
"CA-2017-104745","29/05/2017","04/06/2017","Standard Class","Harlingen","Texas","78550","Central"
"US-2014-119137","23/07/2014","27/07/2014","Standard Class","Tucson","Arizona","85705","West"
"US-2016-134656","28/09/2016","01/10/2016","First Class","Quincy","Illinois","62301","Central"
"US-2017-134481","27/08/2017","01/09/2017","Standard Class","Franklin","Massachusetts","2038","East"
"CA-2015-130792","28/04/2015","05/05/2015","Standard Class","Houston","Texas","77095","Central"
"CA-2016-134775","28/10/2016","29/10/2016","First Class","San Francisco","California","94109","West"
"CA-2015-125395","26/06/2015","29/06/2015","Second Class","Taylor","Michigan","48180","Central"
"US-2015-168935","27/11/2015","02/12/2015","Standard Class","Pembroke Pines","Florida","33024","South"
"CA-2015-122756","03/12/2015","07/12/2015","Standard Class","Philadelphia","Pennsylvania","19140","East"
"CA-2014-115973","24/11/2014","26/11/2014","First Class","Cincinnati","Ohio","45231","East"
"CA-2017-101798","11/12/2017","15/12/2017","Standard Class","New York City","New York","10009","East"
"US-2014-135972","21/09/2014","23/09/2014","Second Class","Des Moines","Washington","98198","West"
"US-2014-134971","07/06/2014","10/06/2014","Second Class","Peoria","Illinois","61604","Central"
"CA-2017-102946","30/06/2017","05/07/2017","Standard Class","Las Vegas","Nevada","89115","West"
"CA-2017-165603","17/10/2017","19/10/2017","Second Class","Warwick","Rhode Island","2886","East"
"CA-2015-122259","31/10/2015","04/11/2015","Standard Class","Jackson","Michigan","49201","Central"
"CA-2016-108987","08/09/2016","10/09/2016","Second Class","Houston","Texas","77036","Central"
"CA-2014-113166","24/12/2014","26/12/2014","First Class","Miami","Florida","33180","South"
"CA-2014-155208","16/04/2014","20/04/2014","Standard Class","Wilmington","North Carolina","28403","South"
"CA-2017-117933","24/12/2017","29/12/2017","Standard Class","New York City","New York","10024","East"
"CA-2017-117457","08/12/2017","12/12/2017","Standard Class","San Francisco","California","94110","West"
"CA-2017-142636","03/11/2017","07/11/2017","Standard Class","Seattle","Washington","98105","West"
"CA-2017-122105","24/06/2017","28/06/2017","Standard Class","Huntington Beach","California","92646","West"
"CA-2016-148796","14/04/2016","18/04/2016","Standard Class","Los Angeles","California","90004","West"
"CA-2017-154816","06/11/2017","10/11/2017","Standard Class","Richmond","Kentucky","40475","South"
"CA-2017-110478","04/03/2017","09/03/2017","Standard Class","Los Angeles","California","90045","West"
"CA-2014-142048","22/06/2014","25/06/2014","First Class","Louisville","Colorado","80027","West"
"CA-2017-125388","19/10/2017","23/10/2017","Standard Class","Lawrence","Massachusetts","1841","East"
"CA-2017-155705","21/08/2017","23/08/2017","Second Class","Jackson","Mississippi","39212","South"
"CA-2017-149160","23/11/2017","26/11/2017","Second Class","Canton","Michigan","48187","Central"
"CA-2014-101476","12/09/2014","13/09/2014","First Class","New Rochelle","New York","10801","East"
"CA-2017-152275","01/10/2017","08/10/2017","Standard Class","San Antonio","Texas","78207","Central"
"US-2016-123750","15/04/2016","21/04/2016","Standard Class","Gastonia","North Carolina","28052","South"
"CA-2016-127369","06/06/2016","07/06/2016","First Class","Lowell","Massachusetts","1852","East"
"US-2014-150574","19/12/2014","25/12/2014","Standard Class","Jacksonville","Florida","32216","South"
"CA-2016-147375","12/06/2016","14/06/2016","Second Class","Chicago","Illinois","60623","Central"
"CA-2017-130043","15/09/2017","19/09/2017","Standard Class","Houston","Texas","77070","Central"
"CA-2017-157252","20/01/2017","23/01/2017","Second Class","New York City","New York","10024","East"
"CA-2016-115756","05/09/2016","07/09/2016","Second Class","Detroit","Michigan","48227","Central"
"CA-2017-154214","20/03/2017","25/03/2017","Second Class","Columbus","Indiana","47201","Central"
"CA-2016-166674","01/04/2016","03/04/2016","Second Class","Auburn","New York","13021","East"
"CA-2017-147277","20/10/2017","24/10/2017","Standard Class","Akron","Ohio","44312","East"
"CA-2016-100153","13/12/2016","17/12/2016","Standard Class","Norman","Oklahoma","73071","Central"
"US-2014-110674","12/02/2014","18/02/2014","Standard Class","Concord","California","94521","West"
"US-2016-157945","26/09/2016","01/10/2016","Standard Class","Decatur","Illinois","62521","Central"
"CA-2015-109638","15/12/2015","22/12/2015","Standard Class","Seattle","Washington","98115","West"
"CA-2016-109869","22/04/2016","29/04/2016","Standard Class","Phoenix","Arizona","85023","West"
"US-2015-101399","17/01/2015","24/01/2015","Standard Class","Park Ridge","Illinois","60068","Central"
"CA-2017-154907","31/03/2017","04/04/2017","Standard Class","Amarillo","Texas","79109","Central"
"US-2016-100419","16/12/2016","20/12/2016","Second Class","Chicago","Illinois","60610","Central"
"CA-2015-154144","20/12/2015","24/12/2015","Standard Class","Lindenhurst","New York","11757","East"
"CA-2014-144666","09/11/2014","11/11/2014","Second Class","San Francisco","California","94110","West"
"CA-2016-103891","12/07/2016","19/07/2016","Standard Class","Los Angeles","California","90008","West"
"CA-2016-152632","27/10/2016","02/11/2016","Standard Class","Troy","New York","12180","East"
"CA-2016-100790","26/06/2016","02/07/2016","Standard Class","New York City","New York","10024","East"
"CA-2014-134677","06/10/2014","10/10/2014","Standard Class","San Diego","California","92024","West"
"CA-2014-127691","22/07/2014","27/07/2014","Standard Class","New York City","New York","10024","East"
"CA-2017-140963","10/06/2017","13/06/2017","First Class","Los Angeles","California","90045","West"
"CA-2014-154627","29/10/2014","31/10/2014","First Class","Chicago","Illinois","60610","Central"
"CA-2014-133753","09/06/2014","13/06/2014","Second Class","Huntsville","Texas","77340","Central"
"CA-2014-113362","14/09/2014","19/09/2014","Standard Class","Rochester","New York","14609","East"
"CA-2016-169166","09/05/2016","14/05/2016","Standard Class","Seattle","Washington","98115","West"
"US-2016-120929","18/03/2016","21/03/2016","Second Class","Memphis","Tennessee","38109","South"
"CA-2015-134782","27/12/2015","31/12/2015","Standard Class","Fayetteville","Arkansas","72701","South"
"CA-2016-126158","25/07/2016","31/07/2016","Standard Class","Costa Mesa","California","92627","West"
"US-2016-105578","30/05/2016","04/06/2016","Standard Class","Parker","Colorado","80134","West"
"CA-2017-134978","12/11/2017","15/11/2017","Second Class","New York City","New York","10024","East"
"CA-2015-145352","16/03/2015","22/03/2015","Standard Class","Atlanta","Georgia","30318","South"
"CA-2017-135307","26/11/2017","27/11/2017","First Class","Gladstone","Missouri","64118","Central"
"CA-2016-106341","20/10/2016","23/10/2016","First Class","Newark","Ohio","43055","East"
"CA-2017-163405","21/12/2017","25/12/2017","Standard Class","Los Angeles","California","90049","West"
"CA-2017-127432","22/01/2017","27/01/2017","Standard Class","Great Falls","Montana","59405","West"
"CA-2015-157812","22/03/2015","26/03/2015","Standard Class","Houston","Texas","77041","Central"
"CA-2017-145142","23/01/2017","25/01/2017","First Class","Detroit","Michigan","48234","Central"
"US-2016-139486","21/05/2016","23/05/2016","First Class","Los Angeles","California","90032","West"
"CA-2015-158792","26/12/2015","02/01/2016","Standard Class","Lawrence","Massachusetts","1841","East"
"CA-2017-113558","21/10/2017","26/10/2017","Standard Class","Lakeland","Florida","33801","South"
"US-2015-138303","03/09/2015","07/09/2015","Standard Class","Philadelphia","Pennsylvania","19134","East"
"CA-2015-102848","07/11/2015","09/11/2015","Second Class","Los Angeles","California","90036","West"
"US-2017-129441","07/09/2017","11/09/2017","Standard Class","Los Angeles","California","90032","West"
"CA-2016-168753","29/05/2016","01/06/2016","Second Class","Montgomery","Alabama","36116","South"
"CA-2016-126613","10/07/2016","16/07/2016","Standard Class","Mesa","Arizona","85204","West"
"US-2017-122637","03/09/2017","08/09/2017","Second Class","Chicago","Illinois","60653","Central"
"CA-2015-147851","03/12/2015","08/12/2015","Standard Class","New York City","New York","10009","East"
"CA-2015-134894","07/12/2015","11/12/2015","Standard Class","Henderson","Kentucky","42420","South"
"CA-2014-140795","01/02/2014","03/02/2014","First Class","Green Bay","Wisconsin","54302","Central"
"CA-2016-136924","14/07/2016","17/07/2016","First Class","Tucson","Arizona","85705","West"
"US-2015-120161","18/12/2015","23/12/2015","Standard Class","Springfield","Ohio","45503","East"
"CA-2014-103849","11/05/2014","16/05/2014","Standard Class","Fort Worth","Texas","76106","Central"
"CA-2017-162929","19/11/2017","22/11/2017","First Class","New York City","New York","10035","East"
"CA-2015-113173","15/11/2015","17/11/2015","Second Class","Chicago","Illinois","60653","Central"
"CA-2016-136406","15/04/2016","17/04/2016","Second Class","San Francisco","California","94110","West"
"CA-2017-112774","11/09/2017","12/09/2017","First Class","Jacksonville","Florida","32216","South"
"CA-2017-101945","24/11/2017","28/11/2017","Standard Class","Houston","Texas","77070","Central"
"CA-2017-100650","29/06/2017","03/07/2017","Second Class","Anaheim","California","92804","West"
"CA-2014-155852","03/03/2014","07/03/2014","Second Class","Wilmington","North Carolina","28403","South"
"CA-2016-113243","10/06/2016","15/06/2016","Standard Class","Los Angeles","California","90045","West"
"CA-2017-118731","20/11/2017","22/11/2017","Second Class","San Francisco","California","94110","West"
"CA-2014-145576","14/09/2014","18/09/2014","Second Class","Tampa","Florida","33614","South"
"CA-2015-130736","07/12/2015","09/12/2015","First Class","Seattle","Washington","98105","West"
"CA-2017-137099","07/12/2017","10/12/2017","First Class","Los Angeles","California","90008","West"
"CA-2017-156951","01/10/2017","08/10/2017","Standard Class","Seattle","Washington","98105","West"
"CA-2017-164826","28/12/2017","04/01/2018","Standard Class","New York City","New York","10024","East"
"CA-2016-127250","03/11/2016","07/11/2016","Standard Class","Marysville","Washington","98270","West"
"CA-2015-149713","18/09/2015","22/09/2015","Second Class","Long Beach","California","90805","West"
"CA-2017-118640","20/07/2017","26/07/2017","Standard Class","Chicago","Illinois","60610","Central"
"CA-2015-132906","10/09/2015","14/09/2015","Standard Class","Los Angeles","California","90004","West"
"CA-2017-145233","01/12/2017","05/12/2017","Standard Class","Denver","Colorado","80219","West"
"CA-2015-128139","03/07/2015","09/07/2015","Standard Class","Richmond","Kentucky","40475","South"
"US-2016-156986","20/03/2016","24/03/2016","Standard Class","Salem","Oregon","97301","West"
"CA-2014-135405","09/01/2014","13/01/2014","Standard Class","Laredo","Texas","78041","Central"
"CA-2014-131450","08/08/2014","15/08/2014","Standard Class","San Diego","California","92024","West"
"CA-2016-120180","14/07/2016","16/07/2016","First Class","Philadelphia","Pennsylvania","19134","East"
"US-2016-100720","16/07/2016","21/07/2016","Standard Class","Philadelphia","Pennsylvania","19120","East"
"CA-2014-149958","15/03/2014","19/03/2014","Standard Class","Tampa","Florida","33614","South"
"US-2014-105767","23/05/2014","27/05/2014","Standard Class","Philadelphia","Pennsylvania","19134","East"
"CA-2016-161816","28/04/2016","01/05/2016","First Class","Dallas","Texas","75217","Central"
"CA-2016-121223","11/09/2016","13/09/2016","Second Class","Philadelphia","Pennsylvania","19143","East"
"CA-2017-138611","14/11/2017","17/11/2017","Second Class","Grove City","Ohio","43123","East"
"CA-2017-117947","18/08/2017","23/08/2017","Second Class","New York City","New York","10011","East"
"US-2014-111171","26/12/2014","31/12/2014","Standard Class","Chicago","Illinois","60610","Central"
"CA-2015-138009","29/11/2015","03/12/2015","Standard Class","Dearborn","Michigan","48126","Central"
"CA-2017-163020","15/09/2017","19/09/2017","Standard Class","New York City","New York","10009","East"
"CA-2017-153787","19/05/2017","23/05/2017","Standard Class","Seattle","Washington","98115","West"
"CA-2017-133431","17/12/2017","21/12/2017","Standard Class","San Francisco","California","94122","West"
"US-2016-135720","11/12/2016","13/12/2016","Second Class","Aurora","Colorado","80013","West"
"CA-2017-144694","24/09/2017","26/09/2017","Second Class","Miami","Florida","33180","South"
"CA-2015-168004","04/10/2015","09/10/2015","Second Class","Warner Robins","Georgia","31088","South"
"US-2016-123470","15/08/2016","21/08/2016","Standard Class","Aurora","Colorado","80013","West"
"CA-2016-115917","20/05/2016","25/05/2016","Standard Class","Vallejo","California","94591","West"
"CA-2016-147067","18/12/2016","22/12/2016","Standard Class","Minneapolis","Minnesota","55407","Central"
"CA-2017-167913","30/07/2017","03/08/2017","Second Class","Mission Viejo","California","92691","West"
"CA-2017-106103","10/06/2017","15/06/2017","Standard Class","Rochester Hills","Michigan","48307","Central"
"US-2017-127719","21/07/2017","25/07/2017","Standard Class","Plainfield","New Jersey","7060","East"
"CA-2017-126221","30/12/2017","05/01/2018","Standard Class","Columbus","Indiana","47201","Central"
"CA-2016-103947","01/04/2016","08/04/2016","Standard Class","Sierra Vista","Arizona","85635","West"
"CA-2016-160745","11/12/2016","16/12/2016","Second Class","Vancouver","Washington","98661","West"
"CA-2016-132661","23/10/2016","29/10/2016","Standard Class","New York City","New York","10024","East"
"CA-2017-140844","19/06/2017","23/06/2017","Standard Class","New York City","New York","10035","East"
"CA-2016-137239","22/08/2016","28/08/2016","Standard Class","Columbus","Ohio","43229","East"
"US-2016-156097","19/09/2016","19/09/2016","Same Day","Aurora","Illinois","60505","Central"
